name,variables,expression,train_range,test_range
Koza-1,1,'x_1**4 + x_1**3 + x_1**2 + x_1,"U[-1,1,200]","U[-1,1,200]"
Koza-2,1,'x_1**5 - 2*x_1**3 + x_1,"U[-1,1,200]","U[-1,1,200]"
Koza-3,1,'x_1**6 - 2*x_1**4 + x_1**2,"U[-1,1,200]","U[-1,1,200]"
Nguyen-1,1,'x_1**3 + x_1**2 + x_1,"U[-1,1,200]","U[-1,1,200]"
Nguyen-3,1,'x_1**5 + x_1**4 + x_1**3 + x_1**2 + x_1,"U[-1,1,200]","U[-1,1,200]"
Nguyen-4,1,'x_1**6 + x_1**5 + x_1**4 + x_1**3 + x_1**2 + x_1,"U[-1,1,200]","U[-1,1,200]"
Nguyen-5,1,'sin(x_1**2)*cos(x_1) - 1,"U[-1,1,200]","U[-1,1,200]"
Nguyen-6,1,'sin(x_1) + sin(x_1 + x_1**2),"U[-1,1,200]","U[-1,1,200]"
Nguyen-7,1,'ln(x_1 + 1) + ln(x_1**2 + 1),"U[0,2,200]","U[0,2,200]"
Nguyen-8,1,'sqrt(x_1),"U[0,4,200]","U[0,4,200]"
Nguyen-9,2,'sin(x_1) + sin(x_2**2),"U[0,1,200]","U[0,1,200]"
Nguyen-10,2,'2*sin(x_1)*cos(x_2),"U[0,1,200]","U[0,1,200]"
Nguyen-11,2,'x_1**(x_2),"U[0,1,200]","U[0,1,200]"
Nguyen-12,2,'x_1**4 - x_1**3 + (x_2**2)/2 - x_2,"U[0,1,200]","U[0,1,200]"
Korns-1,1,'1.57 + 24.3*x_1,"U[-50,50,200]","U[-50,50,200]"
Korns-2,3,'0.23 + 14.2*(x_2 + x_1)/(3*x_3),"U[-50,50,200]","U[-50,50,200]"
Korns-3,4,'-5.41 + 4.9*(x_3 - x_1 + x_2/x_4)/(3*x_4),"U[-50,50,200]","U[-50,50,200]"
Korns-4,1,'-2.3 + 0.13*sin(x_1),"U[-50,50,200]","U[-50,50,200]"
Korns-5,1,'3 + 2.13*ln(x_1),"U[-50,50,200]","U[-50,50,200]"
Korns-6,1,'1.3 + 0.13*sqrt(x_1),"U[-50,50,200]","U[-50,50,200]"
Korns-7,1,'213.80940889*(1 - exp(-0.54723748542*x_1)),"U[-50,50,200]","U[-50,50,200]"
Korns-8,3,'6.87 + 11*sqrt(7.23*x_1*x_2*x_3),"U[-50,50,200]","U[-50,50,200]"
Korns-9,3,'sqrt(x_1)/(ln(x_2)*exp(x_3/2)),"U[-50,50,200]","U[-50,50,200]"
Korns-10,4,'0.81 + 24.3*(2*x_1 + 3*x_2**2)/(4*x_3**3 + 5*x_4**4),"U[-50,50,200]","U[-50,50,200]"
Korns-11,1,'6.87 + 11*cos(7.23*x_1**3),"U[-50,50,200]","U[-50,50,200]"
Korns-12,2,'2 - 2.1*cos(9.8*x_1)*sin(1.3*x_2),"U[-50,50,200]","U[-50,50,200]"
Korns-13,4,'32 - 3*(tan(x_1)/tan(x_2))*(tan(x_3)/tan(x_4)),"U[-50,50,200]","U[-50,50,200]"
Korns-15,4,'12 - 6*(tan(x_1)/exp(x_2))*(ln(x_3) - tan(x_4)),"U[-50,50,200]","U[-50,50,200]"
Keijzer-1,1,'0.3*x_1*sin(2*pi*x_1),"E[-1,1,200]","E[-1,1,200]"
Keijzer-2,1,'0.3*x_1*sin(2*pi*x_1),"E[-2,2,200]","E[-2,2,200]"
Keijzer-3,1,'0.3*x_1*sin(2*pi*x_1),"E[-3,3,200]","E[-3,3,200]"
Keijzer-4,1,'x_1**3*exp(-x_1)*cos(x_1)*sin(x_1)*(sin(x_1)**2*cos(x_1) - 1),"E[0,10,200]","E[0,10,200]"
Keijzer-5,3,'(30*x_1*x_3)/((x_1 - 10)*x_2**2),"x_1,x_2: U[-1,1,200]; x_3: U[1,2,200]","x_1,x_2: U[-1,1,200]; x_3: U[1,2,200]"
Keijzer-6,1,'sum_{i=1}**{x_1} (1/i),"E[1,50,200]","E[1,50,200]"
Keijzer-7,1,'ln(x_1),"E[1,100,200]","E[1,100,200]"
Keijzer-8,1,'sqrt(x_1),"E[0,100,200]","E[0,100,200]"
Keijzer-9,1,"'arcsinh(x_1)  (i.e., ln(x_1 + sqrt(x_1**2 + 1)))","E[0,100,200]","E[0,100,200]"
Keijzer-10,2,'x_1**(x_2),"U[0,1,200]","U[0,1,200]"
Keijzer-11,2,'x_1*x_2 + sin((x_1 - 1)*(x_2 - 1)),"U[-3,3,200]","U[-3,3,200]"
Keijzer-12,2,'x_1**4 - x_1**3 + (x_2**2)/2 - x_2,"U[-3,3,200]","U[-3,3,200]"
Keijzer-13,2,'6*sin(x_1)*cos(x_2),"U[-3,3,200]","U[-3,3,200]"
Keijzer-14,2,'8/(2 + x_1**2 + x_2**2),"U[-3,3,200]","U[-3,3,200]"
Keijzer-15,2,'(x_1**3)/5 + (x_2**3)/2 - x_2 - x_1,"U[-3,3,200]","U[-3,3,200]"
Livermore-1,1,'1./3+x_1+sin(((x_1) ** (2))),"U[-3,3,200]","U[-3,3,200]"
Livermore-2,1,'sin(((x_1) ** (2)))*cos(x_1)-2,"U[-3,3,200]","U[-3,3,200]"
Livermore-3,1,'sin(((x_1) ** (3)))*cos(((x_1) ** (2)))-1,"U[-3,3,200]","U[-3,3,200]"
Livermore-4,1,'log(x_1+1)+log(((x_1) ** (2))+1)+log(x_1),"U[-3,3,200]","U[-3,3,200]"
Livermore-5,2,'((x_1) ** (4))-((x_1) ** (3))+((x_2) ** (2))-x_2,"U[-3,3,200]","U[-3,3,200]"
Livermore-6,1,'4*((x_1) ** (4))+3*((x_1) ** (3))+2*((x_1) ** (2))+x_1,"U[-3,3,200]","U[-3,3,200]"
Livermore-7,1,'((exp(x_1)-exp(-1*x_1)) / (2)),"U[-1,1,200]","U[-1,1,200]"
Livermore-8,1,'((exp(x_1)+exp(-1*x_1)) / (2)),"U[-3,3,200]","U[-3,3,200]"
Livermore-9,1,'((x_1) ** (9))+((x_1) ** (8))+((x_1) ** (7))+((x_1) ** (6))+((x_1) ** (5))+((x_1) ** (4))+((x_1) ** (3))+((x_1) ** (2))+x_1,"U[-1,1,200]","U[-1,1,200]"
Livermore-10,2,'6*sin(x_1)*cos(x_2),"U[-3,3,200]","U[-3,3,200]"
Livermore-11,2,'((((x_1) ** (2))*((x_2) ** (2))) / ((x_1+x_2))),"U[-3,3,200]","U[-3,3,200]"
Livermore-12,2,'((((x_1) ** (5))) / (((x_2)) ** (3))),"U[-3,3,200]","U[-3,3,200]"
Livermore-13,1,'((x_1) ** (1/3)),"U[-3,3,200]","U[-3,3,200]"
Livermore-14,2,'((x_1) ** (3))+((x_1) ** (2))+x_1+sin(x_1)+sin(((x_2) ** (2))),"U[-1,1,200]","U[-1,1,200]"
Livermore-15,1,'((x_1) ** (1/5)),"U[-3,3,200]","U[-3,3,200]"
Livermore-16,1,'((x_1) ** (2/3)),"U[-3,3,200]","U[-3,3,200]"
Livermore-17,2,'4*sin(x_1)*cos(x_2),"U[-3,3,200]","U[-3,3,200]"
Livermore-18,1,'sin(((x_1) ** (2)))*cos(x_1)-5,"U[-3,3,200]","U[-3,3,200]"
Livermore-19,1,'((x_1) ** (5))+((x_1) ** (4))+((x_1) ** (2))+x_1,"U[-3,3,200]","U[-3,3,200]"
Livermore-20,1,'exp(-1*((x_1) ** (2))),"U[-3,3,200]","U[-3,3,200]"
Livermore-21,1,'((x_1) ** (8))+((x_1) ** (7))+((x_1) ** (6))+((x_1) ** (5))+((x_1) ** (4))+((x_1) ** (3))+((x_1) ** (2))+x_1,"U[-1,1,200]","U[-1,1,200]"
Livermore-22,1,'exp(-0.5*((x_1) ** (2))),"U[-3,3,200]","U[-3,3,200]"
Neat-1,1,'((x_1) ** (4))+((x_1) ** (3))+((x_1) ** (2))+x_1,"U[-1,1,200]","U[-1,1,200]"
Neat-2,1,'((x_1) ** (5))+((x_1) ** (4))+((x_1) ** (3))+((x_1) ** (2))+x_1,"U[-1,1,200]","U[-1,1,200]"
Neat-3,1,'sin(((x_1) ** (2)))*cos(x_1)-1,"U[-1,1,200]","U[-1,1,200]"
Neat-4,1,'log(x_1+1)+log(((x_1) ** (2))+1),"U[0,2,200]","U[0,2,200]"
Neat-5,2,'2*sin(x_1)*cos(x_2),"U[-1,1,200]","U[-1,1,200]"
Neat-7,2,'2-2.1*cos(9.8*x_1)*sin(1.3*x_2),"U[-1,1,200]","U[-1,1,200]"
Neat-8,2,'((exp(-((x_1) ** (2)))) / ((1.2+((x_2-2.5)) ** (2)))),"U[0.3,4,200]","U[0.3,4,200]"
Neat-9,2,'((1) / (1+((x_1)) ** (-4)))+((1) / (1+((x_2)) ** (-4))),"U[-1,1,200]","U[-1,1,200]"
Jin-1,2,'(((x_1) ** (4))*2.5 - ((x_1) ** (3))*1.3) + (((x_2) ** (2))*0.5 - x_2*1.7),"U[-3,3,200]","U[-3,3,200]"
Jin-2,2,'(((x_1) ** (2))*8.0 + ((x_2) ** (3))*8.0) - 15.0,"U[-3,3,200]","U[-3,3,200]"
Jin-3,2,'(((x_1) ** (3))*0.2 + ((x_2) ** (3))*0.5) - x_2*1.2 - x_1*0.5,"U[-3,3,200]","U[-3,3,200]"
Jin-4,2,'exp(x_1)*1.5 + cos(x_2)*5.0,"U[-3,3,200]","U[-3,3,200]"
Jin-5,2,'sin(x_1)*cos(x_2)*6.0,"U[-3,3,200]","U[-3,3,200]"
Jin-6,2,'x_1*x_2*1.35 + sin((x_1-1)*(x_2-1))*5.5,"U[-3,3,200]","U[-3,3,200]"
Nguyen-1,1,'((x_1) ** (3))+((x_1) ** (2))+x_1,"U[-1,1,200]","U[-1,1,200]"
Constant-1,1,'3.39*((x_1) ** (3))+2.12*((x_1) ** (2))+1.78*x_1,"U[-4,4,200]","U[-4,4,200]"
Constant-2,1,'sin(((x_1) ** (2)))*cos(x_1)-0.75,"U[-4,4,200]","U[-4,4,200]"
Constant-3,2,'sin(1.5*x_1)*cos(0.5*x_2),"U[0.1,4,200]","U[0.1,4,200]"
Constant-4,2,'2.7*((x_1) ** (x_2)),"U[0.3,4,200]","U[0.3,4,200]"
Constant-5,1,'sqrt(1.23*x_1),"U[0.1,4,200]","U[0.1,4,200]"
Constant-6,1,'((x_1) ** (0.426)),"U[0,4,200]","U[0,4,200]"
Constant-7,2,'2*sin(1.3*x_1)*cos(x_2),"U[-4,4,200]","U[-4,4,200]"
Constant-8,1,'log(x_1+1.4)+log(((x_1) ** (2))+1.3),"U[-4,4,200]","U[-4,4,200]"
